original_title,combined_features,title
Don't Give a Damn (1995),action comedy year1995,dontgiveadamn
Royal Tramp (1992),action comedy year1992,royaltramp
"Playboys, The (1992)",drama romance year1992,theplayboys
Cyclomania (2001),drama romance year2001,cyclomania
"Constant Nymph, The (1943)",drama romance year1943,theconstantnymph
Dil Ne Jise Apna Kahaa (2004),drama romance year2004,dilnejiseapnakahaa
Neo Ned (2005),drama romance year2005,neoned
Island: Wedding of the Zombies (2010),comedy horror year2010,islandweddingofthezombies
"Virgin Suicides, The (1999)",drama romance year1999,thevirginsuicides
Love and Basketball (2000),drama romance year2000,loveandbasketball
Mother Riley Meets the Vampire (1952),comedy horror year1952,motherrileymeetsthevampire
Spread (2009),drama romance year2009,spread
See You in the Morning (1989),drama romance year1989,seeyouinthemorning
The Miracle (1991),drama romance year1991,themiracle
Pure Country 2: The Gift (2010),drama romance year2010,purecountry2thegift
"Good Bye, Till Tomorrow (1960)",drama romance year1960,goodbyetilltomorrow
Explosion of a Motor Car (1900),comedy horror year1900,explosionofamotorcar
Charlie (2015),drama romance year2015,charlie
Gypsies Are Found Near Heaven (1976),drama romance year1976,gypsiesarefoundnearheaven
"Fluffer, The (2001)",drama romance year2001,thefluffer
Wild Orchid (1990),drama romance year1990,wildorchid
Mannequin in Red (1958),crime mystery year1958,mannequininred
The Eraser (1977),drama fantasy year1977,theeraser
Games of Love and Chance (L'esquive) (2003),drama romance year2003,gamesofloveandchancelesquive
Birth (2004),drama mystery year2004,birth
The Doctor and the Girl (1949),drama romance year1949,thedoctorandthegirl
The Secret of Madame Blanche (1933),drama romance year1933,thesecretofmadameblanche
Turkish Delight (Turks fruit) (1973),drama romance year1973,turkishdelightturksfruit
"Great Waldo Pepper, The (1975)",drama romance year1975,thegreatwaldopepper
Rain (2001),drama romance year2001,rain
"Divorcee, The (1930)",drama romance year1930,thedivorcee
Kings Row (1942),drama romance year1942,kingsrow
Dakota Skye (2008),drama romance year2008,dakotaskye
"Big Street, The (1942)",drama romance year1942,thebigstreet
Blood Surf (2000),comedy horror year2000,bloodsurf
Escape by Night (1960),drama romance year1960,escapebynight
FDR: American Badass! (2012),action comedy year2012,fdramericanbadass
My King (2015),drama romance year2015,myking
The White Sister (1933),drama romance year1933,thewhitesister
Ninja in the Dragon's Den (1982),action comedy year1982,ninjainthedragonsden
"New York, I Love You (2009)",drama romance year2009,newyorkiloveyou
"Man and a Woman, A (Un homme et une femme) (1966)",drama romance year1966,manandawomanaunhommeetunefemme
Juan of the Dead (Juan de los Muertos) (2011),comedy horror year2011,juanofthedeadjuandelosmuertos
Moment by Moment (1978),drama romance year1978,momentbymoment
Tender Age (2000),drama romance year2000,tenderage
I Just Wanna Hug You (2014),drama romance year2014,ijustwannahugyou
Drop (2009),action comedy year2009,drop
The Horror of It All (1964),comedy horror year1964,thehorrorofitall
Stake Land II: The Stakelander (2016),action horror year2016,stakelandiithestakelander
Zombie Pizza (2017),comedy horror year2017,zombiepizza
Zombie Fever (2013),comedy horror year2013,zombiefever
Zombie Hamlet (2012),comedy horror year2012,zombiehamlet
Zombie Fight Club (2014),action horror year2014,zombiefightclub
Kill Zombie! (2012),comedy horror year2012,killzombie
The Zombie King (2013),comedy horror year2013,thezombieking
Zombies! Zombies! Zombies! (2008),comedy horror year2008,zombieszombieszombies
This Man is Mine (1934),drama romance year1934,thismanismine
The Gay Sisters (1942),drama romance year1942,thegaysisters
Break of Hearts (1935),drama romance year1935,breakofhearts
StreetDance 3D (2010),drama romance year2010,streetdance3d
Wacko (1982),comedy horror year1982,wacko
Aloys (2016),drama fantasy year2016,aloys
"Jetée, La (1962)",romance scifi year1962,jetela
None But the Lonely Heart (1944),drama romance year1944,nonebutthelonelyheart
"Heiress, The (1949)",drama romance year1949,theheiress
"Lonely Passion of Judith Hearne, The (1987)",drama romance year1987,thelonelypassionofjudithhearne
Once in a Summer (2006),drama romance year2006,onceinasummer
To the Starry Island (1993),drama fantasy year1993,tothestarryisland
Return to Me (2000),drama romance year2000,returntome
The Christmas Box (1995),drama fantasy year1995,thechristmasbox
The Garden Murder Case (1936),drama mystery year1936,thegardenmurdercase
MacGruber (2010),action comedy year2010,macgruber
The Master (1980),action comedy year1980,themaster
The Bottomless Bag (2017),drama mystery year2017,thebottomlessbag
Weary River (1929),drama romance year1929,wearyriver
Half of a Yellow Sun (2013),drama romance year2013,halfofayellowsun
"Last Song, The (2010)",drama romance year2010,thelastsong
Dreaming of Joseph Lees (1999),drama romance year1999,dreamingofjosephlees
Vampire Apocalypse (2008),comedy horror year2008,vampireapocalypse
The Tale of Genji: A Thousand Year Enigma (2011),drama fantasy year2011,thetaleofgenjiathousandyearenigma
Tell Them Willie Boy is Here (1969),drama western year1969,tellthemwillieboyishere
King of the Zombies (1941),comedy horror year1941,kingofthezombies
Summer and Smoke (1961),drama romance year1961,summerandsmoke
2 Jennifer (2016),action horror year2016,2jennifer
Torrent (1926),drama romance year1926,torrent
Susan Slade (1961),drama romance year1961,susanslade
Elegy (2008),drama romance year2008,elegy
The Raging Moon (1971),drama romance year1971,theragingmoon
"Goodbye, Someday (2010)",drama romance year2010,goodbyesomeday
Mai Ratima (2012),drama romance year2012,mairatima
The Right To Romance (1933),drama romance year1933,therighttoromance
"Panic in Needle Park, The (1971)",drama romance year1971,thepanicinneedlepark
"Christmas Carol, A (Scrooge) (1951)",drama fantasy year1951,christmascarolascrooge
Mickey Mouse in Vietnam (1968),animation war year1968,mickeymouseinvietnam
"Rio, I Love You (2014)",drama romance year2014,rioiloveyou
The Nymph (1996),drama romance year1996,thenymph
2 Nights Till Morning (2015),drama romance year2015,2nightstillmorning
Five Senses of Eros (2009),drama romance year2009,fivesensesoferos
Eungyo (2012),drama romance year2012,eungyo
But What If This Is Love? (1961),drama romance year1961,butwhatifthisislove
Scarlet Innocence (2014),drama romance year2014,scarletinnocence
"Low Down Dirty Shame, A (1994)",action comedy year1994,alowdowndirtyshame
I Bought a Vampire Motorcycle (1990),comedy horror year1990,iboughtavampiremotorcycle
"Girl on a Motorcycle, The (1968)",drama romance year1968,thegirlonamotorcycle
When a Man Loves a Woman (1994),drama romance year1994,whenamanlovesawoman
"Eel, The (Unagi) (1997)",drama romance year1997,eeltheunagi
Lead with Your Heart (2015),drama romance year2015,leadwithyourheart
Love on Delivery (1994),action comedy year1994,loveondelivery
Just a Question of Love (2000),drama romance year2000,justaquestionoflove
Scabbard Samurai (2011),action comedy year2011,scabbardsamurai
The Little Minister (1934),drama romance year1934,thelittleminister
Before the Revolution (Prima della rivoluzione) (1964),drama romance year1964,beforetherevolutionprimadellarivoluzione
The Choice (2016),drama romance year2016,thechoice
Kolpaçino (2009),action comedy year2009,kolpaino
People That Are Not Me (2016),drama romance year2016,peoplethatarenotme
My Pure Joy (2011),comedy horror year2011,mypurejoy
Two Gentlemen Sharing (1969),drama romance year1969,twogentlemensharing
Winter People (1989),drama romance year1989,winterpeople
Halls of Montezuma (1950),adventure war year1950,hallsofmontezuma
The Intimate Stranger (1956),drama mystery year1956,theintimatestranger
For Y'ur Height Only (1981),action comedy year1981,foryurheightonly
Cactus (1986),drama romance year1986,cactus
A Hunting Accident (1978),drama romance year1978,ahuntingaccident
The Last Command (1955),drama western year1955,thelastcommand
Scarlet Dawn (1932),drama romance year1932,scarletdawn
The Age of Consent (1932),drama romance year1932,theageofconsent
I Am Love (Io sono l'amore) (2009),drama romance year2009,iamloveiosonolamore
The Skin of the Wolf (2018),drama romance year2018,theskinofthewolf
Bibi (1974),drama romance year1974,bibi
Emmanuelle (1974),drama romance year1974,emmanuelle
"Runaways, The (2010)",drama musical year2010,therunaways
In Name Only (1939),drama romance year1939,innameonly
Skin (2008),drama mystery year2008,skin
"Traviata, La (1982)",drama musical year1982,traviatala
Cairo Time (2009),drama romance year2009,cairotime
"Genova (Summer in Genoa, A) (2008)",drama romance year2008,genovasummeringenoaa
Normal Adolescent Behavior (2007),drama romance year2007,normaladolescentbehavior
Daisy (2006),drama romance year2006,daisy
The Shack (2017),drama fantasy year2017,theshack
The Suspicions of Mr. Whicher: The Murder at Road Hill House (2011),drama mystery year2011,thesuspicionsofmrwhicherthemurderatroadhillhouse
The Chatterley Affair (2006),drama romance year2006,thechatterleyaffair
Naked Gun 33 1/3: The Final Insult (1994),action comedy year1994,nakedgun3313thefinalinsult
Bangkok Adrenaline (2009),action comedy year2009,bangkokadrenaline
One Hundred Days After Childhood (1975),drama romance year1975,onehundreddaysafterchildhood
Pervert! (2005),comedy horror year2005,pervert
Little Women (1933),drama romance year1933,littlewomen
"Now, Voyager (1942)",drama romance year1942,nowvoyager
Hitman (Contract Killer) (Sat sau ji wong) (1998),action comedy year1998,hitmancontractkillersatsaujiwong
I Love Trouble (1994),action comedy year1994,ilovetrouble
"Day He Arrives, The (Book chon bang hyang) (2011)",drama romance year2011,dayhearrivesthebookchonbanghyang
Hovering Over the Water (À Flor do Mar) (1986),drama romance year1986,hoveringoverthewaterflordomar
De-Lovely (2004),drama musical year2004,delovely
Sancharram (2004),drama romance year2004,sancharram
Quarantine L.A. (2016),action horror year2016,quarantinela
Milosc (2012),drama romance year2012,milosc
Devil's Island (1926),drama romance year1926,devilsisland
Bride of Re-Animator (1990),comedy horror year1990,brideofreanimator
The Only Thrill (1997),drama romance year1997,theonlythrill
The Cockpit (1993),animation war year1993,thecockpit
Up in the Air (2009),drama romance year2009,upintheair
"Namesake, The (2006)",drama romance year2006,thenamesake
Becoming Jane (2007),drama romance year2007,becomingjane
Mademoiselle (2001),drama romance year2001,mademoiselle
"Roman Spring of Mrs. Stone, The (1961)",drama romance year1961,theromanspringofmrsstone
Affinity (2008),drama romance year2008,affinity
The Bumblebee Flies Anyway (1999),drama romance year1999,thebumblebeefliesanyway
Homeboy (1988),drama romance year1988,homeboy
Eros (2004),drama romance year2004,eros
Carol (2015),drama romance year2015,carol
The Bride of Glomdal (1926),drama romance year1926,thebrideofglomdal
Der Schatz (1923),drama romance year1923,derschatz
Another Yeti a Love Story: Life on the Streets (2017),comedy horror year2017,anotheryetialovestorylifeonthestreets
Hallam Foe (Mister Foe) (2007),drama romance year2007,hallamfoemisterfoe
Little Miss Broadway (1938),drama musical year1938,littlemissbroadway
Seeing Heaven (2011),drama fantasy year2011,seeingheaven
Girl Slaves of Morgana Le Fay (1971),drama fantasy year1971,girlslavesofmorganalefay
Backbeat (1993),drama musical year1993,backbeat
My Young Auntie (1981),action comedy year1981,myyoungauntie
Skaterdater (1966),drama romance year1966,skaterdater
Wind Across the Everglades (1958),drama romance year1958,windacrosstheeverglades
Yossi (Ha-Sippur Shel Yossi) (2012),drama romance year2012,yossihasippurshelyossi
Reconstruction (2003),drama romance year2003,reconstruction
Prem Ratan Dhan Payo (2015),drama romance year2015,premratandhanpayo
"Notebook, The (2004)",drama romance year2004,thenotebook
Dear Frankie (2004),drama romance year2004,dearfrankie
Der Nachtmahr (2015),drama mystery year2015,dernachtmahr
"Moment to Remember, A (Nae meorisokui jiwoogae) (2004)",drama romance year2004,momenttorememberanaemeorisokuijiwoogae
The Mummy of Tutankhamun (2016),drama romance year2016,themummyoftutankhamun
Pigsty (Porcile) (1969),drama mystery year1969,pigstyporcile
"Painted Veil, The (2006)",drama romance year2006,thepaintedveil
Buster's Mal Heart (2017),drama mystery year2017,bustersmalheart
Lake Nowhere (2014),comedy horror year2014,lakenowhere
Dora or The Sexual Neuroses of Our Parents (2015),drama romance year2015,doraorthesexualneurosesofourparents
Jackie Chan: Kung Fu Master (Xun zhao Cheng Long) (2009),action comedy year2009,jackiechankungfumasterxunzhaochenglong
Twinkle Twinkle Lucky Stars (Xia ri fu xing) (1985),action comedy year1985,twinkletwinkleluckystarsxiarifuxing
My Lucky Stars (Fuk sing go jiu) (1985),action comedy year1985,myluckystarsfuksinggojiu
"Common Thread, A (a.k.a. Sequins) (Brodeuses) (2004)",drama romance year2004,commonthreadaakasequinsbrodeuses
"Fearless Hyena, The (Xiao quan guai zhao) (1979)",action comedy year1979,fearlesshyenathexiaoquanguaizhao
"Peace, Love & Misunderstanding (2011)",drama romance year2011,peacelovemisunderstanding
And Then There Were None (1945),crime mystery year1945,andthentherewerenone
Ravagers (1979),fantasy scifi year1979,ravagers
Transylvania 6-5000 (1985),comedy horror year1985,transylvania65
Half a Loaf of Kung Fu (Dian zhi gong fu gan chian chan) (1980),action comedy year1980,halfaloafofkungfudianzhigongfuganchianchan
Love N' Dancing (2009),drama romance year2009,lovendancing
In Real Life (2014),drama romance year2014,inreallife
"South, The (Sur, El) (1983)",drama romance year1983,souththesurel
Still Life (Sanxia haoren) (2006),drama romance year2006,stilllifesanxiahaoren
Sasayaki (a.k.a. Moonlight Whispers) (Gekkô no sasayaki) (1999),drama romance year1999,sasayakiakamoonlightwhispersgekknosasayaki
Kopps (2003),action comedy year2003,kopps
Hot Dog (2018),action comedy year2018,hotdog
The Other Love (1947),drama romance year1947,theotherlove
The Castle (1968),drama mystery year1968,thecastle
"Walker, The (2007)",drama mystery year2007,thewalker
Plain Dirty (a.k.a. Briar Patch) (2003),drama romance year2003,plaindirtyakabriarpatch
